gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2611207778	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/68498953/original.jpeg?1587756838	https://www.inaturalist.org/photos/68498953					2020-04-24T22:39:20Z	sezb		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sezb
2611175847	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/70119846/original.jpeg?1588139521	https://www.inaturalist.org/photos/70119846					2020-04-29T00:00:00Z	wild_wind		iNaturalist	http://creativecommons.org/licenses/by/4.0/	wild_wind
2611175847	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/70121564/original.jpeg?1588140567	https://www.inaturalist.org/photos/70121564					2020-04-29T00:00:00Z	wild_wind		iNaturalist	http://creativecommons.org/licenses/by/4.0/	wild_wind
2611175054	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69195256/original.jpg?1587910518	https://www.inaturalist.org/photos/69195256					2020-04-26T09:04:16Z	madeleinelb		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	madeleinelb
2611175054	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69195197/original.jpg?1587910506	https://www.inaturalist.org/photos/69195197					2020-04-26T09:04:16Z	madeleinelb		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	madeleinelb
2611175054	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69195221/original.jpg?1587910512	https://www.inaturalist.org/photos/69195221					2020-04-26T09:04:16Z	madeleinelb		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	madeleinelb
2611175054	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69195154/original.jpg?1587910498	https://www.inaturalist.org/photos/69195154					2020-04-26T09:04:16Z	madeleinelb		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	madeleinelb
2611170385	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/41067075/original.jpeg?1559752679	https://www.inaturalist.org/photos/41067075					2019-06-06T04:19:39Z	Евгений Самарин		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Евгений Самарин
2611170385	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/41067055/original.jpeg?1559752666	https://www.inaturalist.org/photos/41067055					2019-06-06T04:19:25Z	Евгений Самарин		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Евгений Самарин
2611164973	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69436647/original.jpeg?1587946072	https://www.inaturalist.org/photos/69436647					2020-04-26T01:07:09Z	vivian_88		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	vivian_88
