validation_code,curr_loss,best_loss,best_epoch
"Validation - histogram_equalization, noise_reduction, gamma_correction, brightness_jitter - True, None, True, True",2.488584707368408,2.488584707368408,7
"Validation - histogram_equalization, noise_reduction, gamma_correction, brightness_jitter - True, gaussian, True, True",2.3184389585237395,1.599804373595695,22
"Validation - histogram_equalization, noise_reduction, gamma_correction, brightness_jitter - True, None, True, True",2.8265068976027323,2.8265068976027323,2
"Validation - histogram_equalization, noise_reduction, gamma_correction, brightness_jitter - True, gaussian, False, False",3.2303245812592527,3.2303245812592527,2
