mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
13.42,0.808,0.355,0.087,0.565,0.214,1.222,2.932,0.0
13.89,0.73,0.619,0.086,0.668,0.221,1.595,2.993,0.0
14.388,0.795,0.486,0.088,0.571,0.221,1.366,2.993,0.0
13.48,0.785,0.57,0.085,0.632,0.238,1.526,2.873,0.0
13.67,0.752,0.635,0.091,0.68,0.22,1.627,2.931,0.0
13.822,0.775,0.482,0.099,0.613,0.209,1.404,2.954,0.0
13.431,0.788,0.409,0.094,0.538,0.205,1.245,2.918,0.0
15.72,0.795,0.621,0.087,0.563,0.233,1.505,2.918,0.0
14.723,0.768,0.837,0.088,0.623,0.223,1.77,3.007,0.0
14.89,0.79,0.374,0.09,0.58,0.208,1.252,2.938,0.0
14.88,0.77,0.82,0.091,0.609,0.24,1.759,2.942,0.0
13.96,0.78,0.411,0.089,0.614,0.211,1.325,2.911,0.0
13.98,0.752,0.631,0.092,0.628,0.211,1.561,2.969,0.0
14.24,0.782,0.654,0.085,0.572,0.209,1.52,2.951,0.0
15.15,0.81,0.549,0.092,0.549,0.237,1.427,2.917,0.0
14.822,0.795,0.703,0.085,0.564,0.206,1.557,2.921,0.0
14.4,0.785,0.676,0.091,0.598,0.201,1.566,2.922,0.0
15.158,0.802,0.431,0.095,0.531,0.196,1.252,2.92,0.0
15.01,0.795,0.525,0.092,0.557,0.232,1.406,2.883,0.0
15.208,0.768,0.534,0.093,0.616,0.208,1.451,2.973,0.0
13.553,0.782,0.642,0.091,0.587,0.22,1.541,2.997,0.0
14.16,0.798,0.534,0.087,0.5,0.189,1.311,2.928,0.0
15.08,0.815,0.244,0.091,0.563,0.223,1.12,2.988,0.0
15.6,0.728,0.556,0.098,0.662,0.228,1.544,3.023,0.0
14.41,0.74,0.566,0.09,0.651,0.243,1.55,2.933,0.0
16.79,0.815,0.274,0.088,0.513,0.2,1.074,2.972,0.0
14.297,0.818,0.384,0.087,0.476,0.214,1.16,3.009,0.0
15.079,0.785,0.494,0.079,0.551,0.184,1.308,2.89,0.0
