mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
7.81,0.45,7.178,0.147,1.52,0.534,9.38,0.641,0.0
7.714,0.512,5.119,0.137,1.444,0.389,7.088,0.643,0.0
