mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
14.12,0.77,0.344,0.098,0.612,0.227,1.281,2.909,0.0
13.64,0.775,0.725,0.103,0.568,0.245,1.64,2.924,0.0
13.81,0.782,0.451,0.099,0.543,0.248,1.342,2.983,0.0
14.91,0.795,0.523,0.094,0.574,0.228,1.419,2.911,0.0
12.99,0.76,0.458,0.105,0.66,0.223,1.446,2.941,0.0
14.396,0.752,0.323,0.107,0.624,0.214,1.269,2.922,0.0
13.9,0.772,0.774,0.104,0.618,0.213,1.709,2.916,0.0
14.824,0.75,0.279,0.101,0.609,0.224,1.213,3.027,0.0
14.82,0.78,0.495,0.108,0.631,0.234,1.469,2.946,0.0
13.89,0.77,0.327,0.094,0.589,0.23,1.24,2.955,0.0
15.45,0.78,0.397,0.089,0.566,0.237,1.289,2.859,0.0
13.92,0.765,0.587,0.111,0.62,0.22,1.538,2.961,0.0
13.94,0.762,0.375,0.084,0.606,0.211,1.277,2.919,0.0
14.901,0.785,0.451,0.099,0.607,0.247,1.403,2.93,0.0
13.812,0.805,0.705,0.092,0.515,0.223,1.534,2.973,0.0
