mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
13.188,0.788,0.606,0.092,0.575,0.22,1.493,2.933,0.0
13.75,0.772,0.653,0.097,0.619,0.237,1.605,2.917,0.0
13.79,0.748,0.8,0.084,0.65,0.224,1.759,2.921,0.0
13.24,0.74,0.78,0.094,0.651,0.235,1.76,2.914,0.0
12.802,0.775,0.642,0.097,0.577,0.214,1.53,2.907,0.0
12.554,0.768,0.884,0.096,0.561,0.227,1.768,2.875,0.0
13.38,0.755,0.822,0.085,0.654,0.238,1.798,2.864,0.0
14.03,0.765,0.546,0.105,0.616,0.226,1.493,2.839,0.0
13.77,0.75,0.747,0.091,0.65,0.23,1.718,2.866,0.0
13.98,0.778,0.623,0.107,0.676,0.231,1.637,2.887,0.0
13.317,0.81,0.613,0.086,0.553,0.224,1.475,2.953,0.0
12.79,0.76,0.685,0.092,0.674,0.214,1.666,2.903,0.0
13.436,0.78,0.488,0.096,0.621,0.215,1.421,2.942,0.0
12.35,0.775,0.751,0.079,0.579,0.196,1.605,2.955,0.0
13.29,0.8,0.647,0.095,0.54,0.22,1.503,2.948,0.0
12.584,0.762,0.944,0.078,0.596,0.236,1.854,2.963,0.0
13.535,0.772,0.556,0.086,0.609,0.209,1.459,2.959,0.0
14.87,0.78,0.414,0.073,0.596,0.199,1.283,2.962,0.0
